,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,fo,2.0,5.0,2.0,1.0,1.0,10.0,4.0,0.0,-2172.2,0.0951,4.366,,,,,,,,
1,0.2333,1.494e-06,-603.8,-1.8697,6.13e-05,10.0,1250.0,4.0,-0.1875,0.0,,,,,,,,,,
2,fa,2.0,4.0,2.0,1.0,1.0,10.0,4.0,0.0,-1478.15,0.151,4.631,,,,,,,,
3,0.2011,1.733e-05,-1960.6,-0.9009,5.05e-05,10.0,1330.0,4.0,-0.1995,0.0,,,,,,,,,,
4,teph,2.0,6.0,2.0,1.0,1.0,10.0,4.0,0.0,-1732.28,0.1559,4.899,,,,,,,,
5,0.2196,0.0,-1292.7,-1.3083,5.05e-05,10.0,1200.0,4.0,-0.18,0.0,,,,,,,,,,
6,lrn,2.0,7.0,2.0,1.0,1.0,10.0,4.0,0.0,-2307.2,0.1276,5.16,,,,,,,,
7,0.2475,-3.206e-06,0.0,-2.0519,5.05e-05,10.0,1200.0,4.0,-0.18,1.0,1710.0,0.01003,0.05,,,,,,,
8,mont,1.0,7.0,1.0,5.0,1.0,1.0,1.0,10.0,4.0,0.0,-2253.05,0.1081,5.148,,,,,,
9,0.2507,-1.0433e-05,-797.2,-1.9961,5.63e-05,10.0,1120.0,4.0,-0.168,0.0,,,,,,,,,,
10,chum,8.0,5.0,9.0,1.0,4.0,10.0,18.0,11.0,2.0,0.0,-9607.32,0.445,19.785,,,,,,
11,1.07,-1.6533e-05,-7899.6,-7.3739,6.1e-05,10.0,1290.0,4.0,-0.1935,0.0,,,,,,,,,,
12,py,3.0,5.0,3.0,3.0,2.0,1.0,3.0,10.0,12.0,0.0,-6284.72,0.2663,11.318,,,,,,
13,0.6335,0.0,-5196.1,-4.3152,4.36e-05,10.0,1737.0,4.0,-0.26055,0.0,,,,,,,,,,
14,alm,3.0,4.0,3.0,3.0,2.0,1.0,3.0,10.0,12.0,0.0,-5263.52,0.34,11.511,,,,,,
15,0.6773,0.0,-3772.7,-5.044,4.03e-05,10.0,1690.0,4.0,-0.2535,0.0,,,,,,,,,,
16,spss,3.0,6.0,3.0,3.0,2.0,1.0,3.0,10.0,12.0,0.0,-5646.4,0.367,11.792,,,,,,
17,0.5846,-1.593e-06,-7516.7,-2.7501,4.62e-05,10.0,1790.0,4.0,-0.2685,0.0,,,,,,,,,,
18,gr,3.0,7.0,3.0,3.0,2.0,1.0,3.0,10.0,12.0,0.0,-6644.15,0.255,12.535,,,,,,
19,0.626,0.0,-5779.2,-4.0029,3.93e-05,10.0,1680.0,4.0,-0.252,0.0,,,,,,,,,,
20,andr,3.0,7.0,3.0,4.0,2.0,1.0,3.0,10.0,12.0,0.0,-5768.13,0.318,13.204,,,,,,
21,0.6386,0.0,-4955.1,-3.9892,3.93e-05,10.0,1590.0,4.0,-0.2385,0.0,,,,,,,,,,
22,osm1,2.0,9.0,1.0,5.0,2.0,3.0,5.0,1.0,10.0,10.0,30.0,0.0,-14968.19,0.701,37.893,,,,
23,1.6258,-3.5548e-05,-8063.5,-13.4909,7.6e-06,10.0,810.0,4.0,-0.1215,0.0,,,,,,,,,,
24,osm2,3.0,9.0,1.0,5.0,3.0,3.0,3.0,1.0,11.0,10.0,30.0,0.0,-14810.34,0.724,38.44,,,,
25,1.6106,-3.4457e-05,-8262.1,-13.1288,7.6e-06,10.0,810.0,4.0,-0.1215,0.0,,,,,,,,,,
26,fosm,1.0,9.0,1.0,4.0,2.0,3.0,5.0,1.0,10.0,10.0,30.0,0.0,-14248.46,0.762,38.32,,,,
