,rownum,mineral_name,min_sym,SiO2,TiO2,Al2O3,FeO,MgO,MnO,CaO,Na2O,K2O,O,H2O,CO2
0,1.0,forsterite,'fo',1,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,fayalite,'fa',1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,tephroite,'teph',1,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
3,4.0,,'lrn',1,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0
4,5.0,monticellite,'mont',1,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
5,6.0,clinohumite,'chum',4,0,0,0,9,0,0.0,0.0,0.0,0.0,1.0,0.0
6,7.0,pyrope,'py',3,0,1,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,almandine,'alm',3,0,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,spessatine,'spss',3,0,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
9,10.0,grossular,'gr',3,0,1,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0
10,11.0,andradite,'andr',3,0,0,2,0,0,3.0,0.0,0.0,1.0,0.0,0.0
11,12.0,osumilite1,'osm1',10,0,2.5,0,2,0,0.0,0.0,0.5,0.0,0.0,0.0
12,13.0,osumilite1,'osm2',11,0,1.5,0,3,0,0.0,0.0,0.5,0.0,0.0,0.0
13,14.0,fe-osumilite,'fosm',10,0,2.5,2,0,0,0.0,0.0,0.5,0.0,0.0,0.0
14,15.0,vesuvianite,'vsv',18,0,5.5,0,2,0,19.0,0.0,0.0,0.0,4.5,0.0
15,16.0,andalusite,'and',1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,17.0,kyanite,'ky',1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,18.0,sillimanite,'sill',1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,19.0,hydroxy-topaz,'tpz',1,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
19,20.0,mg-staurolite,'mst',7.5,0,9,0,4,0,0.0,0.0,0.0,0.0,2.0,0.0
20,21.0,fe-staurolite,'fst',7.5,0,9,4,0,0,0.0,0.0,0.0,0.0,2.0,0.0
21,22.0,mn-staurolite,'mnst',7.5,0,9,0,0,4,0.0,0.0,0.0,0.0,2.0,0.0
22,23.0,mg-cloritoid,'mctd',1,0,1,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
23,24.0,fe-cloritoid,'fctd',1,0,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
24,25.0,mn-cloritoid,'mnctd',1,0,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0
25,26.0,merwinite,'merw',2,0,0,0,1,0,3.0,0.0,0.0,0.0,0.0,0.0
26,27.0,spurrite,'spu',2,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,1.0
27,28.0,zoisite,'zo',3,0,1.5,0,0,0,2.0,0.0,0.0,0.0,0.5,0.0
28,29.0,clinozoisite,'cz',3,0,1.5,0,0,0,2.0,0.0,0.0,0.0,0.5,0.0
29,30.0,fe-epidote,'fep',3,0,0.5,2,0,0,2.0,0.0,0.0,1.0,0.5,0.0
30,31.0,epidote,'ep',3,0,1,1,0,0,2.0,0.0,0.0,0.5,0.5,0.0
31,32.0,lawsonite,'law',2,0,1,0,0,0,1.0,0.0,0.0,0.0,2.0,0.0
32,33.0,pumpellyite,'pump',6,0,2.5,0,1,0,4.0,0.0,0.0,0.0,3.5,0.0
33,34.0,gehlenite,'geh',1,0,1,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0
34,35.0,akermanite,'ak',2,0,0,0,1,0,2.0,0.0,0.0,0.0,0.0,0.0
35,36.0,rankinite,'rnk',2,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0
36,37.0,tilleyite,'ty',2,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,2.0
37,38.0,cordierite,'crd',5,0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
38,39.0,hydrous cordierite,'hcrd',5,0,2,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0
39,40.0,fe-cordiertite,'fcrd',5,0,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,41.0,mn-cordierite,'mncrd',5,0,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
41,42.0,phase A,'phA',2,0,0,0,7,0,0.0,0.0,0.0,0.0,3.0,0.0
42,43.0,sphene,'sph',1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
43,44.0,zircon,'zrc',1,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0.0
44,45.0,enstatite,'en',2,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
45,46.0,ferrosilite,'fs',2,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,47.0,mg-tschermak,'mgts',1,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
47,48.0,diopside,'di',2,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
