,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,'fo',-2172.2,0.0951,4.366,0.2333,1.49E-06,-603.8,-1.8697,6.13E-05,10,1250,4,-0.1875,,,
2,'fa',-1478.15,0.151,4.631,0.2011,1.73E-05,-1960.6,-0.9009,5.05E-05,10,1330,4,-0.1995,,,
3,'teph',-1732.28,0.1559,4.899,0.2196,0,-1292.7,-1.3083,5.05E-05,10,1200,4,-0.18,,,
4,'lrn',-2307.2,0.1276,5.16,0.2475,-3.21E-06,0,-2.0519,5.05E-05,10,1200,4,-0.18,1710,0.01003,0.05
5,'mont',-2253.05,0.1081,5.148,0.2507,-1.04E-05,-797.2,-1.9961,5.63E-05,10,1120,4,-0.168,,,
6,'chum',-9607.32,0.445,19.785,1.07,-1.65E-05,-7899.6,-7.3739,6.10E-05,10,1290,4,-0.1935,,,
7,'py',-6284.72,0.2663,11.318,0.6335,0,-5196.1,-4.3152,4.36E-05,10,1737,4,-0.26055,,,
8,'alm',-5263.52,0.34,11.511,0.6773,0,-3772.7,-5.044,4.03E-05,10,1690,4,-0.2535,,,
9,'spss',-5646.4,0.367,11.792,0.5846,-1.59E-06,-7516.7,-2.7501,4.62E-05,10,1790,4,-0.2685,,,
10,'gr',-6644.15,0.255,12.535,0.626,0,-5779.2,-4.0029,3.93E-05,10,1680,4,-0.252,,,
11,'andr',-5768.13,0.318,13.204,0.6386,0,-4955.1,-3.9892,3.93E-05,10,1590,4,-0.2385,,,
12,'osm1',-14968.19,0.701,37.893,1.6258,-3.55E-05,-8063.5,-13.4909,7.60E-06,10,810,4,-0.1215,,,
13,'osm2',-14810.34,0.724,38.44,1.6106,-3.45E-05,-8262.1,-13.1288,7.60E-06,10,810,4,-0.1215,,,
14,'fosm',-14248.46,0.762,38.32,1.656,-3.42E-05,-6497.7,-14.1143,8.00E-06,10,800,4,-0.12,,,
15,'vsv',-42352.67,1.89,85.2,4.488,-5.80E-05,-22269.3,-33.478,5.00E-05,10,1670,4,-0.2505,,,
16,'and',-2588.8,0.0927,5.153,0.2773,-6.59E-06,-1914.1,-2.2656,4.11E-05,10,1334,4,-0.2001,,,
17,'ky',-2593.11,0.0835,4.414,0.2794,-7.12E-06,-2055.6,-2.2894,4.04E-05,10,1590,4,-0.2385,,,
18,'sill',-2585.68,0.0955,4.986,0.2802,-6.90E-06,-1375.7,-2.3994,2.21E-05,10,1320,4,-0.198,2200,0.004,0.035
19,'tpz',-2904.98,0.1005,5.339,0.3877,-7.12E-06,-857.2,-3.7442,4.04E-05,10,1315,4,-0.19725,,,
20,'mst',-25101.49,0.91,44.26,2.8205,-5.94E-05,-13774,-24.126,1.20E-05,10,1200,4,-0.18,,,
21,'fst',-23753.93,1.01,44.88,2.88,-5.66E-05,-10642,-25.373,1.20E-05,10,1200,4,-0.18,,,
22,'mnst',-24203.88,1.024,45.46,2.8733,-8.91E-05,-12688,-24.749,1.20E-05,10,1200,4,-0.18,,,
23,'mctd',-3551.42,0.14,6.875,0.4644,-1.27E-05,-1147.2,-4.341,5.42E-05,10,1465,4,-0.21975,,,
24,'fctd',-3215.38,0.155,6.98,0.4846,-1.38E-05,-198.9,-4.7622,5.42E-05,10,1465,4,-0.21975,,,
25,'mnctd',-3329.28,0.166,7.175,0.4644,-1.27E-05,-1147.2,-4.341,5.42E-05,10,1465,4,-0.21975,,,
26,'merw',-4546.42,0.2531,9.847,0.4175,8.12E-06,-2923,-2.3203,6.15E-05,10,1200,4,-0.18,,,
27,'spu',-5849.52,0.33,14.697,0.6141,-3.51E-06,-2493.1,-4.168,6.50E-05,10,950,4,-0.1425,,,
28,'zo',-6898.61,0.297,13.575,0.5957,6.23E-05,-5921.3,-3.3947,6.70E-05,10,1120,4,-0.168,,,
29,'cz',-6898.15,0.301,13.63,0.567,1.81E-05,-7034,-2.603,4.60E-05,10,1120,4,-0.168,,,
30,'fep',-6002.18,0.357,14.19,0.5201,3.15E-05,-15426,0.2188,5.05E-05,10,1294,4,-0.19928,,,
